X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
1407,Riau,Rokan Hulu,Rokan Hulu,8.64,null,8846,136,75,2,0,null,null,null,null,null,null,4088,59,3143,215,671,Tanggal,8/3/2021,7588,590272,78,82.05,76.88,5.16,36.42,2.18,692.56,568.89,705.27,581.26,60.35,17.05,0.08,0.12,0.76,7.87,8.64,123.67,null,null
1405,Riau,Siak,Siak,8.18,null,5551,367,78,1,9,null,null,null,null,null,null,7171,79,6009,193,890,Tanggal,8/3/2021,8275,439796,53,86.58,83.8,2.79,45.93,0.78,1630.53,1410.2,1648.26,1427.71,67.77,26.72,0.1,0.16,0.4,7.78,8.18,220.33,null,null
7601,Sulawesi Barat,Majene,Kabupaten Majene,4.96,null,212,2,16,0,2,null,null,null,null,null,null,791,12,634,23,122,Tanggal,8/3/2021,948,161132,170,83.25,80.15,3.1,15.52,0.29,490.9,407.74,500.83,417.67,39.39,14.45,0.09,0.16,0.25,4.71,4.96,83.16,null,null
7603,Sulawesi Barat,Mamasa,Kabupaten Mamasa,1.59,null,429,41,1,0,0,null,null,null,null,null,null,893,3,671,8,211,Tanggal,8/3/2021,3006,149809,50,76.03,75.14,0.89,5.34,0.48,596.09,453.24,596.76,453.91,23.11,15.07,0.06,0.09,-0.12,1.71,1.59,142.85,null,null
7604,Sulawesi Barat,Mamuju,Kabupaten Mamuju,3.12,null,89,0,22,2,3,null,null,null,null,null,null,2477,11,1906,29,531,Tanggal,8/3/2021,5000,258984,52,78.23,76.95,1.28,12.36,0.04,956.43,747.15,964.92,754.87,35.15,19.43,0.07,0.11,1.03,2.1,3.12,209.28,null,null
7606,Sulawesi Barat,Mamuju Tengah,Kabupaten Mamuju Tengah,5.6,null,407,41,21,0,2,null,null,null,null,null,null,596,2,487,20,87,Tanggal,8/3/2021,3014,118188,39,85.28,81.71,3.57,18.61,0.72,504.28,428.98,522.05,446.75,43.14,14.95,0.12,0.2,1.17,4.43,5.6,75.3,null,null
7605,Sulawesi Barat,Mamuju Utara,Kabupaten Pasangkayu,2.86,null,351,8,13,1,1,null,null,null,null,null,null,1260,11,958,15,276,Tanggal,8/3/2021,3044,152505,50,77.29,76.03,1.26,10.49,0.29,826.2,638.01,834.73,645.88,32.39,17.97,0.08,0.13,0.89,1.97,2.86,188.19,null,null
7602,Sulawesi Barat,Polewali Mandar,Kabupaten Powewali Mandar,5.79,null,490,15,79,6,2,null,null,null,null,null,null,2704,39,2211,86,368,Tanggal,8/3/2021,1776,417472,235,84.93,81.77,3.16,21.08,0.21,647.71,550.22,666.63,567.7,45.91,16.85,0.07,0.11,0.36,5.43,5.79,97.49,null,null
7303,Sulawesi Selatan,Bantaeng,Kabupaten Bantaeng,1.65,null,169,0,3,0,0,174,172,null,0,0,0,1026,72,943,11,null,Tanggal,8/3/2021,396,183240,463,92.98,91.91,1.07,6,0.34,559.92,520.63,561.56,522.27,24.5,16.16,0.05,0.09,0.17,1.48,1.65,39.29,null,null
7310,Sulawesi Selatan,Barru,Kabupaten Barru,0.82,null,72,0,10,0,1,81,81,null,null,null,null,1290,258,1025,7,null,Tanggal,8/3/2021,1175,171140,146,80.07,79.46,0.62,4.67,0.13,753.77,603.02,759.61,608.86,21.62,17.45,0.05,0.08,0.39,0.43,0.82,150.75,null,null
7311,Sulawesi Selatan,Bone,Kabupaten Bone,0.9,null,322,0,22,0,4,340,340,null,null,null,null,1823,319,1492,12,null,Tanggal,8/3/2021,4559,742527,163,82.71,81.84,0.87,2.15,0.38,245.51,202.55,248.48,205.51,14.68,10.14,0.02,0.03,-0.1,1.01,0.9,42.96,null,null
7302,Sulawesi Selatan,Bulukumba,Kabupaten Bulukumba,2.83,null,374,17,54,5,7,437,403,null,null,null,null,1463,165,1275,23,null,Tanggal,8/3/2021,1155,410241,355,89.13,87.15,1.98,7.31,0.59,356.62,316.4,369.78,328.34,27.04,12.81,0.04,0.07,0.51,2.33,2.83,40.22,null,null
7316,Sulawesi Selatan,Enrekang,Kabupaten Enrekang,4.94,null,283,11,23,0,2,342,308,null,null,null,null,511,90,398,23,null,Tanggal,8/3/2021,1786,199867,112,82.57,77.89,4.68,12.51,1.27,255.67,210.64,267.18,222.15,35.37,10.54,0.08,0.13,0.5,4.44,4.94,45.03,null,null
7306,Sulawesi Selatan,Gowa,Kabupaten Gowa,3.48,null,564,3,324,38,26,869,823,null,null,null,null,7162,1054,6027,81,null,Tanggal,8/3/2021,1883,721623,383,85.58,84.15,1.43,14.83,0.25,992.48,846.43,1037.38,886.06,38.51,21.05,0.04,0.07,0.2,3.28,3.48,146.06,null,null
7304,Sulawesi Selatan,Jeneponto,Kabupaten Jeneponto,2.52,null,529,1,38,3,2,566,561,null,null,null,null,1933,170,1736,27,null,Tanggal,8/3/2021,750,355446,474,91.28,89.81,1.47,8.16,0.59,543.82,496,554.51,505.84,28.56,15.9,0.05,0.08,0.73,1.78,2.52,47.83,null,null
7301,Sulawesi Selatan,Kepulauan Selayar,Kabupaten Kepulauan Selayar,7.21,null,84,1,7,1,3,88,86,null,null,null,null,989,239,716,34,null,Tanggal,8/3/2021,904,130077,144,76.11,72.4,3.71,28.44,0.18,760.32,576.58,765.7,581.19,53.33,17.05,0.14,0.23,0.83,6.38,7.21,183.74,null,null
7317,Sulawesi Selatan,Luwu,Kabupaten Luwu,1.17,null,239,0,3,0,0,242,242,null,null,null,null,867,147,711,9,null,Tanggal,8/3/2021,3000,349991,117,83.04,82.01,1.03,2.57,0.56,247.72,205.72,248.58,206.58,16.04,10.16,0.03,0.04,-0.12,1.28,1.17,42,null,null
7325,Sulawesi Selatan,Luwu Timur,Kabupaten Luwu Timur,1.66,1313,566,10,87,1,6,527,525,null,null,null,null,3618,362,3232,24,null,Tanggal,8/3/2021,6945,275132,40,90.14,89.33,0.81,10.9,0.33,1315.01,1183.43,1346.63,1214.69,33.02,24.64,0.06,0.1,1.07,0.58,1.66,131.57,null,null
7322,Sulawesi Selatan,Luwu Utara,Kabupaten Luwu Utara,2.78,null,278,0,40,0,0,318,318,null,null,null,null,2155,556,1571,28,null,Tanggal,8/3/2021,7503,302414,40,74.18,72.9,1.28,9.26,0.3,712.6,528.75,725.83,541.97,30.43,16.46,0.05,0.09,0.08,2.7,2.78,183.85,null,null
7371,Sulawesi Selatan,Makassar,Kota Makassar,8.54,null,2766,171,1442,222,143,4400,3728,null,null,null,null,41950,4436,36745,769,null,Tanggal,8/3/2021,176,1447677,8236,89.69,87.59,2.1,63,0.21,2897.75,2591.32,2997.35,2675.6,79.37,36.58,0.06,0.1,0.74,7.8,8.54,306.42,null,null
7308,Sulawesi Selatan,Maros,Kabupaten Maros,2.74,null,275,2,79,11,7,349,334,null,null,null,null,3234,552,2650,32,null,Tanggal,8/3/2021,1619,338917,209,83.12,81.94,1.18,11.51,0.22,954.22,791.34,977.53,811.41,33.92,20.14,0.06,0.09,0,2.74,2.74,162.87,null,null
7373,Sulawesi Selatan,Palopo,Kota Palopo,5,null,179,9,14,0,1,192,183,null,null,null,null,2055,300,1717,38,null,Tanggal,8/3/2021,248,168452,681,85.44,83.55,1.88,23.15,0.19,1219.93,1041.84,1228.24,1050.15,48.12,22.91,0.11,0.19,0.88,4.12,5,178.09,null,null
7309,Sulawesi Selatan,Pangkajene Dan Kepulauan,Kabupaten Pangkajene Dan Kepulauan,4.47,null,140,1,68,22,1,240,185,null,null,null,null,2006,463,1497,46,null,Tanggal,8/3/2021,1236,323304,262,76.89,74.63,2.27,14.54,0.22,620.47,477.26,641.5,491.49,38.13,15.68,0.06,0.11,0.59,3.88,4.47,143.21,null,null
7372,Sulawesi Selatan,Parepare,Kota Parepare,5.88,null,149,6,111,5,0,277,250,null,null,null,null,2035,537,1458,40,null,Tanggal,8/3/2021,99,138804,1397,73.51,71.65,1.86,28.82,0.26,1466.1,1079.22,1546.06,1155.59,53.68,24.04,0.14,0.23,0.99,4.89,5.88,386.88,null,null
7315,Sulawesi Selatan,Pinrang,Kabupaten Pinrang,5.37,null,568,14,33,5,1,601,591,null,null,null,null,1205,90,1059,56,null,Tanggal,8/3/2021,1962,366583,187,92.49,87.88,4.6,15.55,1,328.71,304.16,337.71,311.8,39.43,12.49,0.06,0.1,0.27,5.1,5.37,24.55,null,null
7314,Sulawesi Selatan,Sidenreng Rappang,Kabupaten Sidenreng Rappang,2.2,null,96,7,54,4,3,170,136,null,null,null,null,1251,185,1051,15,null,Tanggal,8/3/2021,1883,289482,154,85.39,84.01,1.38,6.22,0.26,432.15,368.24,450.81,385.52,24.94,13.88,0.04,0.07,0.32,1.88,2.2,63.91,null,null
7307,Sulawesi Selatan,Sinjai,Kabupaten Sinjai,1.96,null,268,3,23,4,1,300,289,null,null,null,null,3138,181,2929,28,null,Tanggal,8/3/2021,820,237966,290,94.26,93.34,0.92,12.19,0.19,1318.68,1242.61,1328.34,1250.6,34.91,25.01,0.07,0.11,0.84,1.12,1.96,76.06,null,null
7312,Sulawesi Selatan,Soppeng,Kabupaten Soppeng,3.19,null,82,3,40,0,1,121,118,null,null,null,null,1572,278,1270,24,null,Tanggal,8/3/2021,1359,226057,166,82.34,80.79,1.55,11.06,0.15,695.4,572.42,713.09,590.12,33.26,17.18,0.07,0.11,0.5,2.69,3.19,122.98,null,null
7305,Sulawesi Selatan,Takalar,Kabupaten Takalar,3.79,null,75,1,34,0,1,158,108,null,null,null,null,1856,352,1469,35,null,Tanggal,8/3/2021,567,286596,506,81.05,79.15,1.9,12.56,0.14,647.6,524.78,659.46,536.64,35.44,16.38,0.06,0.1,1.35,2.44,3.79,122.82,null,null
7318,Sulawesi Selatan,Tana Toraja,Kabupaten Tana Toraja,1.57,null,249,7,13,3,2,260,256,null,null,null,null,1564,546,1008,10,null,Tanggal,8/3/2021,2054,228778,111,65.21,64.45,0.76,5.25,0.33,683.63,444.97,689.31,449.34,22.9,14.99,0.05,0.08,1.57,0,1.57,238.66,null,null
7326,Sulawesi Selatan,Toraja Utara,Kabupaten Toraja Utara,1.69,null,178,0,6,1,1,183,182,null,null,null,null,710,340,364,6,null,Tanggal,8/3/2021,1151,225362,196,52.25,51.27,0.98,3.11,0.52,315.05,164.18,317.71,166.4,17.62,9.12,0.04,0.06,-0.06,1.75,1.69,150.87,null,null
7313,Sulawesi Selatan,Wajo,Kabupaten Wajo,2.83,null,71,0,25,1,3,96,92,null,null,null,null,1061,129,910,22,null,Tanggal,8/3/2021,2056,393132,191,88.07,85.77,2.3,6.36,0.18,269.88,237.07,276.24,243.18,25.22,11.03,0.04,0.06,0.23,2.6,2.83,32.81,null,null
7202,Sulawesi Tengah,Banggai,Banggai,8.42,0,63,5,14,4,null,null,null,null,null,null,null,3691,1204,2355,132,null,Tanggal,8/3/2021,9573,354010,37,67.37,63.8,3.56,37.29,0.02,1042.63,702.52,1046.58,705.35,61.06,18.78,0.1,0.16,1.49,6.93,8.42,340.1,null,null
7201,Sulawesi Tengah,Banggai Kepulauan,Banggai Kepulauan,4.6,28,26,15,0,0,null,null,null,null,null,null,null,539,152,372,15,null,Tanggal,8/3/2021,2615,114876,44,71.8,69.02,2.78,13.06,0.05,469.2,336.88,469.2,336.88,36.14,12.98,0.1,0.17,0.35,4.25,4.6,132.32,null,null
7211,Sulawesi Tengah,Banggai Laut,Banggai Laut,6.04,39,11,0,0,0,null,null,null,null,null,null,null,225,146,69,10,null,Tanggal,8/3/2021,599,69390,116,35.11,30.67,4.44,14.41,0.05,324.25,113.85,324.25,113.85,37.96,7.54,0.14,0.23,1.36,4.68,6.04,210.4,null,null
7207,Sulawesi Tengah,Buol,Buol,3.36,22,116,8,6,0,null,null,null,null,null,null,null,901,160,725,16,null,Tanggal,8/3/2021,4044,148756,37,82.23,80.47,1.76,10.76,0.14,605.69,498.13,609.72,502.16,32.8,15.85,0.08,0.13,0.13,3.23,3.36,107.56,null,null
7205,Sulawesi Tengah,Donggala,Donggala,3.35,186,83,51,11,2,null,null,null,null,null,null,null,923,202,698,23,null,Tanggal,8/3/2021,4275,293463,69,78.09,75.62,2.46,7.84,0.1,314.52,245.69,318.27,248.75,28,11.15,0.05,0.08,0.01,3.35,3.35,68.83,null,null
7203,Sulawesi Tengah,Morowali,Morowali,7.17,646,54,18,32,1,null,null,null,null,null,null,null,1819,455,1322,42,null,Tanggal,8/3/2021,9584,112959,12,74.95,72.68,2.27,37.18,0.05,1610.32,1207.52,1638.65,1234.96,60.98,24.85,0.17,0.29,1.26,5.91,7.17,402.8,null,null
7212,Sulawesi Tengah,Morowali Utara,Morowali Utara,6.97,344,20,6,35,2,null,null,null,null,null,null,null,1543,539,967,37,null,Tanggal,8/3/2021,3457,117455,34,65.01,62.67,2.34,31.5,0.04,1313.69,854.8,1343.49,882.89,56.13,21.01,0.16,0.26,1.18,5.79,6.97,458.9,null,null
7271,Sulawesi Tengah,Palu,Palu,7.33,481,452,62,45,0,null,null,null,null,null,null,null,5481,1446,3901,134,null,Tanggal,8/3/2021,395,367600,931,73.6,71.17,2.42,36.45,0.09,1491.02,1097.66,1503.26,1109.9,60.38,23.56,0.09,0.16,0.38,6.96,7.33,393.36,null,null
7208,Sulawesi Tengah,Parigi Moutong,Parigi Moutong,3.89,143,134,16,10,0,null,null,null,null,null,null,null,1941,353,1539,49,null,Tanggal,8/3/2021,5090,457019,90,81.8,79.29,2.51,10.72,0.07,424.71,347.47,426.9,349.66,32.74,13.22,0.05,0.08,0.84,3.05,3.89,77.24,null,null
7204,Sulawesi Tengah,Poso,Poso,7.64,404,130,56,29,1,null,null,null,null,null,null,null,3189,708,2392,89,null,Tanggal,8/3/2021,7112,235156,33,77.77,75.01,2.77,37.85,0.05,1356.12,1055.04,1368.45,1066.95,61.52,23.1,0.12,0.2,0.5,7.15,7.64,301.08,null,null
7210,Sulawesi Tengah,Sigi,Sigi,5.43,27,284,272,13,0,null,null,null,null,null,null,null,1941,700,1197,44,null,Tanggal,8/3/2021,5196,229196,44,63.92,61.67,2.25,19.2,0.15,846.87,541.46,852.55,547.13,43.82,16.54,0.09,0.14,1.15,4.28,5.43,305.42,null,null
7209,Sulawesi Tengah,Tojo Una-Una,Tojo Una-Una,5.55,32,109,71,19,2,null,null,null,null,null,null,null,1288,584,676,28,null,Tanggal,8/3/2021,5721,147337,26,54.63,52.48,2.14,19,0.1,874.19,477.82,887.08,489.35,43.59,15.64,0.11,0.18,1.19,4.36,5.55,396.37,null,null
7206,Sulawesi Tengah,Toli-Toli,Toli-Toli,9.35,70,328,109,18,3,null,null,null,null,null,null,null,1343,555,706,82,null,Tanggal,8/3/2021,4080,225640,55,58.59,52.57,6.02,36.34,0.26,595.2,349.23,603.17,355.88,60.28,13.34,0.12,0.2,2.35,7,9.35,245.97,null,null
7472,Sulawesi Tenggara,Baubau,Kota Baubau,5.59,2713,null,null,null,null,null,1575,1554,0,0,0,0,1961,275,1645,41,null,Tanggal,8/3/2021,221,154570,699,85.98,83.89,2.09,26.53,0.8,1268.68,1090.77,1268.68,1090.77,51.5,23.35,0.13,0.21,0.61,4.98,5.59,177.91,null,null
7406,Sulawesi Tenggara,Bombana,Bombana,3.77,915,null,null,null,null,null,390,390,0,0,0,0,489,75,399,15,null,Tanggal,8/3/2021,3001,164453,55,84.66,81.6,3.07,9.12,0.8,297.35,251.74,297.35,251.74,30.2,11.22,0.07,0.12,0.55,3.23,3.77,45.61,null,null
7401,Sulawesi Tenggara,Buton,Buton,4.8,744,null,null,null,null,null,668,668,0,0,0,0,704,101,571,32,null,Tanggal,8/3/2021,2681,264348,99,85.65,81.11,4.55,12.11,0.95,266.32,228.11,266.32,228.11,34.79,10.68,0.07,0.11,0.17,4.63,4.8,38.21,null,null
7409,Sulawesi Tenggara,Buton Utara,Buton Utara,8.17,91,null,null,null,null,null,92,92,0,0,0,0,102,39,49,14,null,Tanggal,8/3/2021,1865,59714,32,61.76,48.04,13.73,23.45,0.9,170.81,105.5,170.81,105.5,48.42,7.26,0.19,0.31,0.31,7.85,8.17,65.31,null,null
7471,Sulawesi Tenggara,Kendari,Kota Kendari,4.17,1320,null,null,null,null,null,235,235,0,0,0,0,7002,1005,5909,88,null,Tanggal,8/3/2021,301,346500,1152,85.65,84.39,1.26,25.4,0.03,2020.78,1730.74,2020.78,1730.74,50.4,29.42,0.08,0.14,0.12,4.05,4.17,290.04,null,null
7404,Sulawesi Tenggara,Kolaka,Kolaka,4.14,1272,null,null,null,null,null,180,180,0,0,0,0,1540,432,1081,27,null,Tanggal,8/3/2021,3284,186276,57,71.95,70.19,1.75,14.49,0.12,826.73,594.82,826.73,594.82,38.07,17.25,0.08,0.14,0.43,3.71,4.14,231.91,null,null
7411,Sulawesi Tenggara,Kolaka Timur,Kolaka Timur,4.4,274,null,null,null,null,null,141,141,0,0,0,0,332,111,205,16,null,Tanggal,8/3/2021,3635,177667,49,66.57,61.75,4.82,9.01,0.42,186.87,124.39,186.87,124.39,30.01,7.89,0.07,0.11,0.11,4.3,4.4,62.48,null,null
7408,Sulawesi Tenggara,Kolaka Utara,Kolaka Utara,3.99,901,null,null,null,null,null,180,180,0,0,0,0,1085,116,948,21,null,Tanggal,8/3/2021,3392,140338,41,89.31,87.37,1.94,14.96,0.17,773.13,690.48,773.13,690.48,38.68,18.58,0.1,0.16,0.28,3.71,3.99,82.66,null,null
7403,Sulawesi Tenggara,Konawe,Konawe,5.82,1038,null,null,null,null,null,274,274,0,0,0,0,1427,606,775,46,null,Tanggal,8/3/2021,5303,264881,50,57.53,54.31,3.22,17.37,0.19,538.73,309.95,538.73,309.95,41.67,12.45,0.08,0.13,0.89,4.93,5.82,228.78,null,null
7405,Sulawesi Tenggara,Konawe Selatan,Konawe Selatan,4.47,710,null,null,null,null,null,184,184,0,0,0,0,821,153,638,30,null,Tanggal,8/3/2021,5780,264587,46,81.36,77.71,3.65,11.34,0.22,310.29,252.47,310.29,252.47,33.67,11.24,0.06,0.1,0.28,4.19,4.47,57.83,null,null
7410,Sulawesi Tenggara,Konawe Utara,Konawe Utara,0.65,221,null,null,null,null,null,44,44,0,0,0,0,408,134,272,2,null,Tanggal,8/3/2021,5102,51533,10,67.16,66.67,0.49,3.88,0.11,791.73,531.7,791.73,531.7,19.7,16.3,0.08,0.14,0,0.65,0.65,260.03,null,null
7402,Sulawesi Tenggara,Muna,Muna,4.63,1789,null,null,null,null,null,320,319,0,0,0,0,631,161,440,30,null,Tanggal,8/3/2021,2945,288406,98,74.48,69.73,4.75,10.4,0.51,218.79,162.96,218.79,162.96,32.25,9.03,0.06,0.09,0.33,4.3,4.63,55.82,null,null
7407,Sulawesi Tenggara,Wakatobi,Wakatobi,5.83,445,null,null,null,null,null,40,40,0,0,0,0,391,72,302,17,null,Tanggal,8/3/2021,560,94971,170,81.59,77.24,4.35,17.9,0.1,411.7,335.89,411.7,335.89,42.31,12.96,0.13,0.22,2.69,3.14,5.83,75.81,null,null
7172,Sulawesi Utara,Bitung,Bitung,5.31,619,null,null,null,null,null,19,null,null,2,0,null,2186,262,1874,50,null,Tanggal,8/3/2021,303,220700,729,88.01,85.73,2.29,22.66,0.01,990.48,871.77,991.39,871.77,47.6,20.88,0.1,0.16,0.34,4.97,5.31,118.71,null,null
7101,Sulawesi Utara,Bolaang Mongondow,Bolaang Mongondow,3.09,649,null,null,null,null,null,11,null,null,3,0,null,538,58,464,16,null,Tanggal,8/3/2021,2872,249600,87,89.2,86.25,2.96,6.41,0.03,215.54,192.31,216.75,192.31,25.32,9.81,0.05,0.08,0.64,2.45,3.09,23.24,null,null
7110,Sulawesi Utara,Bolaang Mongondow Selatan,Bolaang Mongondow Selatan,3.77,272,null,null,null,null,null,1,null,null,0,0,null,163,69,89,5,null,Tanggal,8/3/2021,1616,66500,41,57.67,54.6,3.07,7.52,0.01,245.11,141.35,245.11,141.35,27.42,8.41,0.1,0.17,1.15,2.62,3.77,103.76,null,null
7111,Sulawesi Utara,Bolaang Mongondow Timur,Bolaang Mongondow Timur,4.37,376,null,null,null,null,null,5,null,null,1,0,null,274,23,242,9,null,Tanggal,8/3/2021,910,72600,80,91.59,88.32,3.27,12.4,0.02,377.41,345.73,378.79,345.73,35.21,13.15,0.12,0.21,0.62,3.75,4.37,31.68,null,null
7107,Sulawesi Utara,Bolaang Mongondow Utara,Bolaang Mongondow Utara,2.33,385,null,null,null,null,null,0,null,null,0,0,null,442,265,173,4,null,Tanggal,8/3/2021,1680,80700,48,40.05,39.14,0.9,4.96,0,547.71,219.33,547.71,219.33,22.26,10.47,0.07,0.12,0.97,1.36,2.33,328.38,null,null
7103,Sulawesi Utara,Kepulauan Sangihe,Kepulauan Sangihe,5.18,1248,null,null,null,null,null,4,null,null,1,0,null,760,185,553,22,null,Tanggal,8/3/2021,461,131800,286,75.65,72.76,2.89,16.69,0.01,576.63,436.27,577.39,436.27,40.86,14.77,0.11,0.18,1.79,3.4,5.18,140.36,null,null
7104,Sulawesi Utara,Kepulauan Talaud,Kepulauan Talaud,3.83,379,null,null,null,null,null,5,null,null,1,0,null,287,25,253,9,null,Tanggal,8/3/2021,1240,92500,75,91.28,88.15,3.13,9.73,0.02,310.27,283.24,311.35,283.24,31.19,11.9,0.1,0.16,0.57,3.26,3.83,27.03,null,null
7174,Sulawesi Utara,Kotamobagu,Kotamobagu,4.28,2652,null,null,null,null,null,9,null,null,5,1,null,1218,127,1068,23,null,Tanggal,8/3/2021,68,130000,1910,89.57,87.68,1.88,17.69,0.01,936.92,839.23,940.77,840,42.06,20.49,0.11,0.18,0.22,4.06,4.28,97.69,null,null
7171,Sulawesi Utara,Manado,Manado,9.6,5908,null,null,null,null,null,177,null,null,26,0,null,8466,2183,6039,244,null,Tanggal,8/3/2021,157,432300,2749,74.21,71.33,2.87,56.44,0.02,1958.36,1453.39,1964.38,1453.39,75.13,26.96,0.11,0.18,0.63,8.97,9.6,504.97,null,null
7102,Sulawesi Utara,Minahasa,Minahasa,7.51,6118,null,null,null,null,null,34,null,null,15,1,null,2979,638,2233,108,null,Tanggal,8/3/2021,1115,341500,306,78.57,74.96,3.61,31.63,0.02,872.33,685.51,876.72,685.8,56.24,18.52,0.09,0.15,0.53,6.98,7.51,186.82,null,null
7105,Sulawesi Utara,Minahasa Selatan,Minahasa Selatan,6.38,0,null,null,null,null,null,6,null,null,3,0,null,937,151,742,44,null,Tanggal,8/3/2021,1410,210400,149,83.87,79.19,4.68,20.91,0.01,445.34,373.57,446.77,373.57,45.73,13.67,0.09,0.16,-0.04,6.42,6.38,71.77,null,null
7109,Sulawesi Utara,Minahasa Tenggara,Minahasa Tenggara,7.79,587,null,null,null,null,null,5,null,null,4,1,null,1132,306,789,37,null,Tanggal,8/3/2021,711,106500,150,72.96,69.7,3.26,34.74,0.01,1062.91,775.59,1066.67,776.53,58.94,19.7,0.17,0.29,0.9,6.89,7.79,287.32,null,null
7106,Sulawesi Utara,Minahasa Utara,Minahasa Utara,8.46,582,null,null,null,null,null,38,null,null,17,1,null,1161,306,789,66,null,Tanggal,8/3/2021,918,203200,221,73.56,67.96,5.6,32.48,0.05,571.36,420.77,579.72,421.26,56.99,14.51,0.12,0.2,0.55,7.91,8.46,150.59,null,null
7108,Sulawesi Utara,Siau Tagulandang Biaro,Kepulauan Siau Tagulandang Biaro,9.37,511,null,null,null,null,null,6,null,null,4,0,null,281,23,233,25,null,Tanggal,8/3/2021,276,67000,243,91.69,82.92,8.77,37.31,0.04,419.4,385.07,425.37,385.07,61.08,13.88,0.22,0.37,0.25,9.11,9.37,34.33,null,null
7173,Sulawesi Utara,Tomohon,Tomohon,11.95,9342,null,null,null,null,null,24,null,null,5,0,null,1164,306,789,69,null,Tanggal,8/3/2021,114,107600,942,73.69,67.78,5.9,64.13,0.02,1081.78,797.4,1086.43,797.4,80.08,19.97,0.23,0.39,0.74,11.21,11.95,284.39,null,null
1307,Sumatera Barat,Agam,Agam,5.79,null,785,null,85,null,null,94,null,null,null,null,null,4443,770,3559,114,null,Tanggal,8/3/2021,2232,476536,213,82.62,80.1,2.52,23.92,0.22,932.35,770.77,950.19,788.61,48.91,19.86,0.07,0.11,0,5.79,5.79,161.58,null,null
1375,Sumatera Barat,Bukittinggi,Kota Bukittinggi,8.17,null,229,null,33,null,null,216,null,null,null,null,null,3434,652,2713,69,null,Tanggal,8/3/2021,25,122395,4849,80.99,79,1.99,56.37,0.14,2805.67,2272.97,2832.63,2299.93,75.08,33.91,0.2,0.34,0.66,7.51,8.17,532.7,null,null
1311,Sumatera Barat,Dharmasraya,Dharmasraya,3.44,null,490,null,39,null,null,0,null,null,null,null,null,1372,145,1201,26,null,Tanggal,8/3/2021,3346,222611,67,89.38,87.54,1.84,11.68,0.39,616.32,551.19,633.84,568.71,34.18,16.86,0.07,0.11,0,3.44,3.44,65.14,null,null
1301,Sumatera Barat,Kepulauan Mentawai,Kepulauan Mentawai,0,null,29,null,8,null,null,0,null,null,null,null,null,834,53,780,1,null,Tanggal,8/3/2021,6011,85156,14,93.64,93.53,0.12,1.17,0.04,979.38,917.14,988.77,926.53,10.84,21.52,0.04,0.06,0,0,0,62.24,null,null
1308,Sumatera Barat,Lima Puluh Kota,Limapuluh Kota,4.18,null,337,null,90,null,null,152,null,null,null,null,null,1767,181,1538,48,null,Tanggal,8/3/2021,3354,368602,110,89.62,87.04,2.58,13.02,0.33,479.38,430.27,503.8,454.69,36.09,15.08,0.06,0.09,0,4.18,4.18,49.1,null,null
1371,Sumatera Barat,Padang,Kota Padang,6.13,null,5377,null,562,null,null,264,null,null,null,null,null,35325,4726,30127,472,null,Tanggal,8/3/2021,695,901305,1297,86.6,85.29,1.32,52.37,0.18,3919.32,3394.97,3981.67,3457.32,72.37,41.58,0.07,0.12,-0.33,6.47,6.13,524.35,null,null
1374,Sumatera Barat,Padang Panjang,Kota Padang Panjang,7.66,null,148,null,27,null,null,94,null,null,null,null,null,1665,126,1508,31,null,Tanggal,8/3/2021,23,50875,2212,92.4,90.57,1.83,60.93,0.16,3272.73,3025.06,3325.8,3078.13,78.06,39.23,0.33,0.55,0,7.66,7.66,247.67,null,null
1306,Sumatera Barat,Padang Pariaman,Padang Pariaman,6.5,null,124,null,89,null,null,0,null,null,null,null,null,2144,345,1706,93,null,Tanggal,8/3/2021,1329,405845,305,83.74,79.57,4.16,22.92,0.1,528.28,443.27,550.21,465.2,47.87,15.25,0.07,0.12,0,6.5,6.5,85.01,null,null
1377,Sumatera Barat,Pariaman,Kota Pariaman,5.1,null,167,null,19,null,null,0,null,null,null,null,null,1041,174,847,20,null,Tanggal,8/3/2021,73,84594,1153,83.25,81.36,1.89,23.64,0.18,1230.58,1024.9,1253.04,1047.36,48.62,22.88,0.16,0.26,0,5.1,5.1,205.69,null,null
1309,Sumatera Barat,Pasaman,Pasaman,5.17,null,207,null,44,null,null,0,null,null,null,null,null,662,45,580,37,null,Tanggal,8/3/2021,3948,269656,68,92.85,87.61,5.24,13.72,0.38,245.5,228.81,261.82,245.13,37.04,11.07,0.07,0.11,0,5.17,5.17,16.69,null,null
