X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
9412,Papua,Mimika,Kab. Mimika,3.06,null,7433,377,537,53,null,null,null,null,null,null,null,7388,706,6615,67,null,Tanggal,7/30/2021,21633,201300,9,90.38,89.54,0.85,33.28,1.08,3670.14,3319.42,3936.91,3559.86,57.69,42.19,0.12,0.2,0,3.06,3.06,350.72,0,null
9404,Papua,Nabire,Kab. Nabire,5.29,null,516,0,284,0,null,null,null,null,null,null,null,603,51,525,27,null,Tanggal,7/30/2021,11113,139921,13,90.11,87.06,3.04,19.3,1.33,430.96,394.51,633.93,597.48,43.93,17.28,0.11,0.19,0,5.29,5.29,36.45,0,null
9429,Papua,Nduga,Kab. Nduga,0,null,41,0,15,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,7/30/2021,2168,93862,43,0,0,0,0,56,0,0,15.98,15.98,0,2.83,0,0,0,0,0,0,0,null
9410,Papua,Paniai,Kab. Paniai,2.17,null,114,9,39,1,null,null,null,null,null,null,null,165,62,98,5,null,Tanggal,7/30/2021,6525,164008,25,61.84,59.39,2.45,3.05,0.93,100.6,62.8,124.38,85.97,17.46,6.56,0.04,0.07,0,2.17,2.17,37.8,0,null
9417,Papua,Pegunungan Bintang,Kab. Pegunungan Bintang,0,null,361,0,30,0,null,null,null,null,null,null,null,11,0,11,0,null,Tanggal,7/30/2021,15682,71608,5,100,100,0,0,35.55,15.36,15.36,57.26,57.26,0,5.35,0,0,0,0,0,0,0,null
9433,Papua,Puncak,Kab. Puncak,0,null,770,0,2272,386,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,7/30/2021,8055,103342,13,0,0,0,0,3042,0,0,2198.53,1825.01,0,30.21,0,0,0,0,0,0,0,null
9411,Papua,Puncak Jaya,Kab. Puncak Jaya,0,null,338,0,67,4,null,null,null,null,null,null,null,3,0,3,0,null,Tanggal,7/30/2021,4990,114978,23,100,100,0,0,135,2.61,2.61,60.88,57.4,0,5.36,0,0,0,0,0,0,0,null
9419,Papua,Sarmi,Kab. Sarmi,0,null,91,4,0,0,null,null,null,null,null,null,null,31,0,31,0,null,Tanggal,7/30/2021,17742,36714,2,100,100,0,0,2.94,84.44,84.44,84.44,84.44,0,6.5,0,0,0,0,0,0,0,null
9427,Papua,Supiori,Kab. Supiori,0,null,153,18,6,2,null,null,null,null,null,null,null,102,25,77,0,null,Tanggal,7/30/2021,678,18222,27,75.49,75.49,0,0,1.56,559.76,422.57,592.69,444.52,0,14.91,0,0,0,0,0,137.2,0,null
9418,Papua,Tolikara,Kab. Tolikara,0,null,639,42,16,10,null,null,null,null,null,null,null,96,43,53,0,null,Tanggal,7/30/2021,5588,130862,23,55.21,55.21,0,0,6.82,73.36,40.5,85.59,45.09,0,4.75,0,0,0,0,0,32.86,0,null
9426,Papua,Waropen,Kab. Waropen,0,null,144,13,0,0,null,null,null,null,null,null,null,1,0,1,0,null,Tanggal,7/30/2021,10977,28444,3,100,100,0,0,144,3.52,3.52,3.52,3.52,0,1.33,0,0,0,0,0,0,0,null
9416,Papua,Yahukimo,Kab. Yahukimo,0,null,385,74,36,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,7/30/2021,17152,181139,11,0,0,0,0,421,0,0,19.87,19.87,0,3.15,0,0,0,0,0,0,0,null
9432,Papua,Yalimo,Kab. Yalimo,0,null,90,0,0,0,null,null,null,null,null,null,null,15,0,15,0,null,Tanggal,7/30/2021,1253,58700,47,100,100,0,0,6,25.55,25.55,25.55,25.55,0,3.57,0,0,0,0,0,0,0,null
9101,Papua Barat,Fakfak,Kabupaten Fakfak,8.32,null,null,null,null,null,null,null,null,3,null,null,null,1345,345,966,34,null,Tanggal,8/3/2021,11036,73180,7,74.35,71.82,2.53,50.56,0,1837.93,1366.49,1837.93,1366.49,68.16,26.14,0.25,0.42,-0.23,8.55,8.32,471.44,0,null
9102,Papua Barat,Kaimana,Kabupaten Kaimana,4.59,null,null,null,null,null,null,null,null,0,null,null,null,567,142,415,10,null,Tanggal,8/3/2021,16242,53848,3,74.96,73.19,1.76,18.57,0,1052.96,789.26,1052.96,789.26,43.09,19.87,0.18,0.29,-0.46,5.04,4.59,263.71,0,null
9112,Papua Barat,Manokwari,Kab. Peg. Arfak,0,null,null,null,null,null,null,null,null,0,null,null,null,3,0,3,0,null,Tanggal,8/3/2021,2774,28218,10,100,100,0,0,0,10.63,10.63,10.63,10.63,0,2.31,0,0,0,0,0,0,0,null
9105,Papua Barat,Manokwari City,Kabupaten Manokwari,4.03,null,null,null,null,null,null,null,null,1,null,null,null,6858,1617,5182,59,null,Tanggal,8/3/2021,11675,157940,14,76.42,75.56,0.86,37.99,0,4342.16,3318.35,4342.16,3318.35,61.12,40.73,0.15,0.25,-0.2,4.23,4.03,1023.81,0,null
9111,Papua Barat,Manokwari Selatan,Kabupaten Manokwari Selatan,5.19,null,null,null,null,null,null,null,null,1,null,null,null,200,83,113,4,null,Tanggal,8/3/2021,2812,21776,8,58.5,56.5,2,22.96,0,918.44,537.29,918.44,537.29,42.86,16.39,0.31,0.51,0,5.19,5.19,381.15,0,null
9110,Papua Barat,Maybrat,Kabupaten Maybrat,6.35,null,null,null,null,null,null,null,null,1,null,null,null,15,0,10,5,null,Tanggal,8/3/2021,5462,37392,7,100,66.67,33.33,16.05,0,40.12,40.12,40.12,40.12,36.57,4.48,0.2,0.33,0.7,5.65,6.35,0,0,null
9108,Papua Barat,Raja Ampat,Kabupaten Raja Ampat,0.05,null,null,null,null,null,null,null,null,1,null,null,null,902,129,769,4,null,Tanggal,8/3/2021,8034,45758,6,85.7,85.25,0.44,10.93,0,1971.24,1689.32,1971.24,1689.32,29.57,29.06,0.15,0.24,0.05,0,0.05,281.92,0,null
9107,Papua Barat,Sorong,Kabupaten Sorong,6.06,null,null,null,null,null,null,null,null,1,null,null,null,829,152,656,21,null,Tanggal,8/3/2021,7415,80479,11,81.66,79.13,2.53,27.34,0,1030.08,841.21,1030.08,841.21,51.08,20.51,0.17,0.29,-0.13,6.19,6.06,188.87,0,null
9171,Papua Barat,Sorong City,Kota Sorong,5.46,null,null,null,null,null,null,null,null,16,null,null,null,5440,-166,5517,89,null,Tanggal,8/3/2021,657,225922,344,103.05,101.42,1.64,46.48,0,2407.91,2481.39,2407.91,2481.39,62.76,35.22,0.14,0.23,0.09,5.37,5.46,-73.48,0,null
9106,Papua Barat,Sorong Selatan,Kabupaten Sorong Selatan,9.82,null,null,null,null,null,null,null,null,0,null,null,null,359,60,279,20,null,Tanggal,8/3/2021,3947,42922,11,83.29,77.72,5.57,46.6,0,836.4,696.61,836.4,696.61,68.26,18.66,0.31,0.52,-0.19,10.01,9.82,139.79,0,null
9109,Papua Barat,Tambrauw,Kabupaten Tambrauw,6.74,null,null,null,null,null,null,null,null,0,null,null,null,53,9,41,3,null,Tanggal,8/3/2021,5180,13515,3,83.02,77.36,5.66,22.2,0,392.16,325.56,392.16,325.56,47.11,12.76,0.38,0.64,-0.75,7.49,6.74,66.59,0,null
9104,Papua Barat,Teluk Bintuni,Kabupaten Teluk Bintuni,5.73,null,null,null,null,null,null,null,null,6,null,null,null,1688,161,1502,25,null,Tanggal,8/3/2021,20841,58987,3,90.46,88.98,1.48,52.55,0,2861.65,2588.71,2861.65,2588.71,65.1,35.98,0.28,0.47,0.19,5.54,5.73,272.94,0,null
9103,Papua Barat,Teluk Wondama,Kabupaten Teluk Wondama,8.51,null,null,null,null,null,null,null,null,0,null,null,null,850,138,694,18,null,Tanggal,8/3/2021,3960,29682,7,83.76,81.65,2.12,60.64,0,2863.69,2398.76,2863.69,2398.76,77.87,34.63,0.43,0.71,0.63,7.87,8.51,464.93,0,null
1408,Riau,Bengkalis,Bengkalis,9.21,null,7766,73,181,3,18,null,null,null,null,null,null,6694,116,5247,241,1090,Tanggal,8/3/2021,6976,543280,78,82.15,78.38,3.77,47.67,1.19,1232.15,1010.16,1265.46,1042.92,69.05,22.84,0.09,0.15,0.34,8.88,9.21,221.98,1090,null
1473,Riau,Dumai,Dumai,7.93,null,4150,341,135,0,6,null,null,null,null,null,null,8755,84,7364,161,1146,Tanggal,8/3/2021,1623,285448,176,85.99,84.11,1.88,58.5,0.49,3067.11,2636.21,3114.4,2683.5,76.49,36.63,0.14,0.23,0.41,7.51,7.93,430.9,null,null
1403,Riau,Indragiri Hilir,Indragiri Hilir,5.14,null,13718,415,257,8,7,null,null,null,null,null,null,3691,50,2957,112,572,Tanggal,8/3/2021,12615,702863,56,83.13,80.11,3.01,16.93,3.79,525.14,436.64,561.7,472.07,41.15,15.36,0.05,0.08,0.42,4.72,5.14,88.5,null,null
1402,Riau,Indragiri Hulu,Indragiri Hulu,6.84,null,465,1,35,0,1,null,null,null,null,null,null,4841,26,4049,132,634,Tanggal,8/3/2021,7724,408704,53,86.37,83.64,2.73,32.54,0.1,1184.48,1022.99,1193.04,1031.55,57.05,22.71,0.08,0.14,0.33,6.51,6.84,161.49,null,null
1406,Riau,Kampar,Kampar,8.35,null,6974,198,274,5,31,null,null,null,null,null,null,6684,146,5482,267,789,Tanggal,8/3/2021,10983,791348,72,86.3,82.02,4.28,37.66,1.08,844.63,726.48,879.26,760.47,61.37,19.5,0.07,0.11,0.3,8.06,8.35,118.15,null,null
1410,Riau,Kepulauan Meranti,Kepulauan Meranti,5.65,null,10333,772,21,1,1,null,null,null,null,null,null,1501,31,1272,40,158,Tanggal,8/3/2021,3708,180946,49,87.44,84.74,2.69,22.66,6.9,829.53,725.08,841.13,736.13,47.6,19.19,0.12,0.18,0.09,5.56,5.65,104.45,null,null
1401,Riau,Kuantan Singingi,Kuantan Singingi,7.9,null,8558,341,69,4,10,null,null,null,null,null,null,4575,25,3940,124,486,Tanggal,8/3/2021,5259,313976,60,89.01,86.12,2.89,42.68,1.89,1457.12,1294.37,1479.09,1315.07,65.33,25.64,0.11,0.18,0.97,6.93,7.9,162.75,null,null
1471,Riau,Pekanbaru,Pekanbaru,10.9,null,15309,1097,1195,145,94,null,null,null,null,null,null,42243,507,36387,894,4455,Tanggal,8/3/2021,632,1035834,1638,88.41,86.14,2.27,95.38,0.39,4078.16,3599.13,4193.53,3700.5,97.66,43.01,0.09,0.15,0.57,10.33,10.9,479.03,null,null
1404,Riau,Pelalawan,Pelalawan,8.66,null,3714,44,109,2,13,null,null,null,null,null,null,2737,84,2252,135,266,Tanggal,8/3/2021,12758,395250,31,87.48,82.28,5.2,37.44,1.4,692.47,603.92,720.05,630.99,61.19,17.76,0.09,0.15,0.67,7.98,8.66,88.55,null,null
1409,Riau,Rokan Hilir,Rokan Hilir,6.13,null,12196,808,79,6,8,null,null,null,null,null,null,3913,57,3127,133,596,Tanggal,8/3/2021,8852,643224,73,83.45,79.91,3.53,21.92,3.14,608.34,506.82,620.62,518.17,46.82,16.1,0.06,0.09,0.73,5.4,6.13,101.52,null,null
